age,workclass,salary,education_rank,marital-status,occupation,race,sex,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
14.0,private,40007.25,7,Never-married,service,caucasian,Female,0.0,0.0,22,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
53.0,private,39748.25,9,Widowed,factory,not_caucasian,Female,0.0,0.0,38,80.0,250.0
46.0,private,27542.75,9,Married,craft,caucasian,Male,0.0,0.0,40,220.0,316.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
27.0,private,27732.75,9,Married,clerical,caucasian,Male,0.0,0.0,40,429.0,140.0
28.0,private,,9,Never-married,cleaner,caucasian,Male,594.0,0.0,50,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
50.0,self_employed,60153.0,13,Divorced,professional,caucasian,Female,0.0,0.0,60,461.0,176.0
,private,24709.25,9,Widowed,clerical,caucasian,Female,0.0,0.0,40,381.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
39.0,private,16671.75,10,Divorced,craft,caucasian,Male,0.0,0.0,45,351.0,213.0
25.0,private,52848.0,9,Never-married,service,caucasian,Male,0.0,0.0,48,44.0,123.0
,private,37514.25,13,Divorced,sales,caucasian,Male,0.0,0.0,50,210.0,197.0
21.0,private,76445.25,9,Never-married,cleaner,caucasian,Male,0.0,0.0,45,67.0,278.0
42.0,private,86015.0,9,Married,sales,caucasian,Male,7298.0,0.0,40,,98.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
20.0,,,7,Never-married,,caucasian,Male,0.0,0.0,40,,
26.0,private,66445.25,13,Never-married,executive,caucasian,Male,0.0,0.0,60,416.0,150.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
58.0,government,53216.0,9,Married,lawenf,caucasian,Male,3908.0,0.0,40,335.0,420.0
14.0,private,44281.25,10,Never-married,cleaner,caucasian,Male,0.0,0.0,20,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
56.0,private,39688.0,14,Married,executive,caucasian,Female,0.0,0.0,50,84.0,380.0
31.0,private,72350.75,9,Divorced,tech,not_caucasian,Male,0.0,0.0,40,,
21.0,government,73897.25,10,Never-married,clerical,not_caucasian,Male,0.0,0.0,40,376.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
40.0,government,71021.5,14,Married,professional,caucasian,Male,7688.0,0.0,40,497.0,5.0
30.0,government,11434.25,10,Never-married,clerical,caucasian,Female,0.0,0.0,40,5.0,95.0
,private,77282.75,9,Married,trucker,caucasian,Male,0.0,0.0,40,,340.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
27.0,private,,9,Never-married,trucker,caucasian,Male,0.0,0.0,99,302.0,197.0
25.0,private,30059.5,7,Married,trucker,caucasian,Male,5178.0,0.0,40,306.0,36.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
21.0,private,28872.0,9,Married,farm,caucasian,Male,0.0,0.0,40,292.0,
42.0,self_employed,36059.0,10,Never-married,sales,caucasian,Male,0.0,,60,,66.0
23.0,private,45209.25,9,Never-married,factory,not_caucasian,Female,0.0,0.0,40,28.0,55.0
49.0,private,82633.75,16,Divorced,executive,caucasian,Male,0.0,0.0,40,394.0,236.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
14.0,private,37945.0,11,Never-married,sales,not_caucasian,Female,0.0,0.0,35,158.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
36.0,government,30544.25,13,Married,professional,caucasian,Male,0.0,0.0,60,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
26.0,private,28929.25,10,Married,clerical,caucasian,Male,0.0,2051.0,40,279.0,205.0
22.0,private,,9,Married,craft,caucasian,Male,,0.0,40,82.0,
59.0,self_employed,36017.75,3,Married,service,caucasian,Male,2580.0,,15,29.0,76.0
26.0,private,13399.5,10,Never-married,clerical,caucasian,Female,0.0,0.0,40,191.0,448.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
25.0,private,66488.5,9,Divorced,service,not_caucasian,Male,0.0,0.0,40,,
59.0,private,85147.75,6,Married,cleaner,caucasian,Male,3942.0,0.0,40,,369.0
14.0,,36599.75,13,Never-married,,caucasian,Male,0.0,0.0,55,19.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
14.0,private,93742.25,6,Never-married,trucker,caucasian,Male,0.0,0.0,56,354.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
24.0,private,94118.5,9,Married,factory,caucasian,Male,0.0,0.0,40,61.0,398.0
37.0,private,99438.0,9,Divorced,farm,caucasian,Male,0.0,0.0,12,105.0,155.0
49.0,self_employed,8325.0,9,Married,farm,caucasian,Male,0.0,0.0,84,,463.0
57.0,self_employed,9219.0,9,Married,farm,caucasian,Male,0.0,0.0,40,287.0,
43.0,private,19121.75,7,Married,craft,caucasian,Male,0.0,0.0,40,365.0,23.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
18.0,private,39014.0,9,Never-married,cleaner,caucasian,Male,,0.0,12,,184.0
41.0,government,51921.25,13,Never-married,executive,caucasian,Male,,0.0,40,443.0,223.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
43.0,self_employed,37789.75,6,Divorced,trucker,caucasian,Male,0.0,0.0,99,14.0,
55.0,self_employed,17001.5,4,Never-married,service,caucasian,Female,0.0,0.0,60,310.0,487.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
49.0,private,46346.25,14,Married,professional,caucasian,Male,0.0,0.0,50,390.0,305.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
40.0,self_employed,37876.0,10,Married,craft,caucasian,Male,0.0,0.0,60,297.0,391.0
,private,22886.75,10,Never-married,sales,caucasian,Female,0.0,0.0,40,420.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
31.0,private,41829.75,13,Married,executive,caucasian,Male,0.0,0.0,40,352.0,363.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
26.0,self_employed,97464.0,13,Never-married,sales,caucasian,Male,0.0,0.0,60,62.0,39.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
24.0,government,32633.5,13,Never-married,executive,caucasian,Male,0.0,0.0,40,65.0,434.0
23.0,private,98653.0,13,Never-married,tech,not_caucasian,Male,0.0,0.0,40,,309.0
58.0,private,25324.75,9,Married,craft,caucasian,Male,0.0,0.0,40,379.0,
,private,19866.0,7,Never-married,clerical,caucasian,Female,0.0,0.0,12,191.0,
64.0,private,53997.5,14,Married,executive,caucasian,Male,0.0,1887.0,44,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
66.0,government,67714.75,13,Married,professional,caucasian,Male,0.0,1902.0,48,,
49.0,private,41697.25,9,Married,clerical,caucasian,Male,0.0,0.0,40,,82.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
38.0,private,45819.75,10,Married,craft,caucasian,Male,0.0,0.0,43,60.0,391.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
,private,27272.25,9,Divorced,craft,caucasian,Male,0.0,0.0,37,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
31.0,self_employed,113998.75,10,Never-married,executive,caucasian,Male,0.0,0.0,65,378.0,17.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
57.0,government,11193.5,13,Widowed,clerical,caucasian,Female,0.0,0.0,40,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
36.0,private,37510.5,13,Divorced,professional,caucasian,Female,0.0,0.0,40,,157.0
41.0,government,44399.75,13,Divorced,professional,caucasian,Female,0.0,0.0,35,105.0,271.0
38.0,self_employed,,11,Divorced,farm,caucasian,Male,0.0,0.0,50,469.0,472.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
56.0,private,,9,Never-married,professional,caucasian,Female,0.0,0.0,45,170.0,147.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
35.0,private,79288.25,9,Never-married,sales,caucasian,Female,0.0,0.0,40,,216.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
28.0,self_employed,70743.0,13,Never-married,professional,caucasian,Female,0.0,0.0,4,381.0,234.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
49.0,private,41050.0,10,Married,professional,caucasian,Male,0.0,0.0,40,184.0,365.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
29.0,private,16858.25,9,Divorced,clerical,caucasian,Female,0.0,0.0,40,,
47.0,private,46733.75,7,Married,trucker,not_caucasian,Male,0.0,0.0,40,227.0,36.0
35.0,private,102300.0,12,Never-married,lawenf,caucasian,Male,0.0,0.0,40,2.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
34.0,private,30817.5,9,Married,craft,caucasian,Male,0.0,0.0,40,204.0,453.0
54.0,private,44170.25,9,Married,clerical,not_caucasian,Male,0.0,0.0,20,100.0,5.0
27.0,,54119.75,13,Married,,caucasian,Female,0.0,0.0,24,96.0,317.0
14.0,private,48652.0,10,Never-married,service,caucasian,Female,0.0,,20,393.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
49.0,private,25330.0,12,Married,sales,caucasian,Female,0.0,1902.0,40,156.0,140.0
25.0,private,67251.0,11,Never-married,craft,caucasian,Male,,0.0,40,,12.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
22.0,private,80112.75,10,Never-married,lawenf,not_caucasian,Male,0.0,0.0,24,,368.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
22.0,private,13640.0,9,Married,trucker,caucasian,Male,0.0,0.0,60,398.0,290.0
27.0,private,83753.75,10,Married,tech,caucasian,Male,0.0,0.0,65,327.0,322.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
49.0,private,44002.75,10,Divorced,clerical,caucasian,Male,0.0,0.0,40,276.0,
27.0,private,33750.25,9,Married,craft,caucasian,Male,0.0,0.0,40,,144.0
61.0,private,35561.25,9,Divorced,clerical,caucasian,Female,0.0,0.0,40,329.0,5.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
18.0,private,55303.75,6,Never-married,cleaner,caucasian,Male,0.0,0.0,40,230.0,
45.0,private,,5,Never-married,service,caucasian,Male,0.0,0.0,20,459.0,167.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
20.0,private,109456.25,13,Married,sales,caucasian,Male,0.0,0.0,20,440.0,
14.0,private,47807.5,10,Never-married,executive,caucasian,Female,0.0,0.0,40,205.0,
21.0,private,64060.0,7,Married,factory,caucasian,Male,0.0,0.0,40,,1.0
37.0,private,37474.5,9,Never-married,trucker,caucasian,Male,0.0,0.0,50,,336.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
45.0,private,43633.25,10,Married,trucker,caucasian,Male,7298.0,0.0,50,,319.0
26.0,self_employed,55406.5,9,Married,service,caucasian,Female,0.0,1579.0,20,393.0,252.0
20.0,private,18419.75,9,Never-married,trucker,caucasian,Female,0.0,0.0,35,,192.0
17.0,private,73030.0,9,Divorced,tech,caucasian,Female,0.0,0.0,45,,
19.0,private,24216.5,10,Never-married,service,caucasian,Female,0.0,0.0,30,326.0,338.0
14.0,private,53253.75,9,Never-married,cleaner,not_caucasian,Male,2176.0,0.0,40,22.0,
29.0,private,46271.0,10,Married,factory,caucasian,Male,0.0,0.0,55,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
29.0,private,114350.5,3,Never-married,service,caucasian,Male,0.0,0.0,25,25.0,241.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
42.0,private,44371.75,9,Married,service,caucasian,Male,0.0,0.0,40,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
44.0,government,41326.0,10,Married,executive,caucasian,Male,0.0,1485.0,40,474.0,376.0
27.0,private,15324.75,10,Married,craft,caucasian,Male,0.0,0.0,45,427.0,
71.0,private,9358.75,13,Divorced,clerical,caucasian,Female,0.0,0.0,3,5.0,170.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
39.0,private,4978.5,10,Divorced,clerical,not_caucasian,Female,0.0,0.0,40,453.0,165.0
48.0,private,31610.25,2,Married,service,not_caucasian,Male,0.0,0.0,45,145.0,187.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
48.0,private,44059.75,5,Divorced,service,caucasian,Female,0.0,0.0,40,393.0,383.0
19.0,private,54442.25,10,Never-married,service,caucasian,Female,0.0,0.0,15,1.0,80.0
26.0,government,25458.25,13,Divorced,professional,caucasian,Male,0.0,0.0,40,349.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
,private,28946.0,11,Married,cleaner,caucasian,Male,0.0,0.0,45,1.0,102.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
21.0,government,74788.25,10,Never-married,clerical,caucasian,Female,0.0,0.0,15,212.0,135.0
45.0,private,81347.5,9,Married,sales,caucasian,Male,0.0,0.0,40,,404.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
14.0,private,63636.75,10,Never-married,clerical,not_caucasian,Female,0.0,0.0,30,442.0,
48.0,private,38313.5,9,Married,tech,not_caucasian,Male,0.0,0.0,48,,263.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
32.0,private,97539.25,13,Never-married,professional,not_caucasian,Female,0.0,0.0,40,109.0,307.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
24.0,private,110664.0,7,Never-married,sales,caucasian,Female,0.0,,65,375.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
38.0,private,,13,Married,executive,caucasian,Male,0.0,1887.0,50,452.0,214.0
22.0,private,,11,Never-married,professional,caucasian,Male,0.0,0.0,30,349.0,340.0
21.0,private,29855.5,9,Married,sales,caucasian,Male,0.0,0.0,40,292.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
